"","Standort","Bestand","Plot","Baumart","BHD","Hoehe"
"1658","El Naranjo","7",20,"aa",60,9
"1662","El Naranjo","7",21,"aa",55,14
"1670","El Naranjo","7",21,"aa",136,22
"1673","El Naranjo","7",22,"aa",67,13
"1690","El Naranjo","7",22,"aa",136,22
"1695","El Naranjo","7",23,"aa",136,22
"1697","El Naranjo","7",23,"aa",29,7.5
"1713","El Naranjo","7",24,"aa",160,25
"1718","El Naranjo","7",24,"aa",71,15
"1730","El Naranjo","7",25,"aa",100,23
"1735","El Naranjo","7",26,"aa",134,31
"1757","El Naranjo","7",27,"aa",29,7
"1759","El Naranjo","7",27,"aa",96,28
"1762","El Naranjo","7",28,"aa",53,9
"1769","El Naranjo","7",29,"aa",5,2.3
"1775","El Naranjo","7",29,"aa",82,25.5
"1793","El Naranjo","7",31,"aa",35,9.5
"1796","El Naranjo","7",31,"aa",168,26
"1802","El Naranjo","7",32,"aa",46,9.5
"1808","El Naranjo","7",33,"aa",20,7
"1818","El Naranjo","7",33,"aa",159,22
"1820","El Naranjo","7",34,"aa",164,24
"1825","El Naranjo","7",34,"aa",159,22
"1826","El Naranjo","7",34,"aa",67,20
"1827","El Naranjo","7",34,"aa",65,12
"1829","El Naranjo","7",36,"aa",163,24
"1832","El Naranjo","7",36,"aa",23,10
"1852","El Naranjo","8",1,"aa",61,15.5
"1857","El Naranjo","8",2,"aa",119,17
"1862","El Naranjo","8",2,"aa",15,3
"1882","El Naranjo","8",3,"aa",62,16
"1883","El Naranjo","8",4,"aa",58,11
"1884","El Naranjo","8",4,"aa",126,24
"1887","El Naranjo","8",5,"aa",78,17
"1895","El Naranjo","8",6,"aa",151,23
"1898","El Naranjo","8",6,"aa",60,13
"1908","El Naranjo","8",7,"aa",39,8
"1913","El Naranjo","8",8,"aa",44,9
"1928","El Naranjo","8",9,"aa",44,16
"1942","El Naranjo","8",10,"aa",26,11
"1946","El Naranjo","8",10,"aa",112,22
