Standort,Bestand,Plot,Baumart,BHD,Hoehe
La Fusta,4,30,np,149,28
La Fusta,4,30,np,193,
La Fusta,4,31,aa,78,
La Fusta,4,31,aa,110,24
La Fusta,4,31,aa,180,
La Fusta,4,31,aa,137,27
La Fusta,4,31,aa,98,
La Fusta,4,31,np,64,20
La Fusta,4,32,aa,48,
La Fusta,4,32,aa,40,
La Fusta,4,32,aa,46,9
La Fusta,4,32,aa,89,
La Fusta,4,32,aa,150,
La Fusta,4,32,np,44,12
La Fusta,4,32,np,62,
La Fusta,4,32,np,63,
La Fusta,4,32,np,13,
La Fusta,4,32,np,11,
La Fusta,4,32,np,12,
La Fusta,4,32,np,12,
La Fusta,4,32,np,9,
La Fusta,4,32,np,9,
La Fusta,4,32,np,19,
La Fusta,4,33,aa,127,
La Fusta,4,33,aa,88,
La Fusta,4,33,aa,98,
La Fusta,4,33,aa,110,
La Fusta,4,33,aa,89,26
La Fusta,4,33,np,73,
La Fusta,4,33,np,77,17
La Fusta,4,33,np,9,4
La Fusta,4,33,np,13,
La Fusta,4,33,np,10,
La Fusta,4,33,np,60,
La Fusta,4,34,aa,66,
La Fusta,4,34,np,14,
La Fusta,4,34,np,10,
La Fusta,4,34,np,7,
La Fusta,4,34,np,13,
La Fusta,4,34,np,16,6
La Fusta,4,34,np,59,
La Fusta,4,34,np,52,
La Fusta,4,34,np,86,
La Fusta,4,34,np,82,
La Fusta,4,34,np,61,
La Fusta,4,34,np,43,
La Fusta,4,34,np,70,
La Fusta,4,34,np,54,
La Fusta,4,34,np,132,
La Fusta,4,35,aa,86,19
La Fusta,4,35,np,86,28
La Fusta,4,35,np,82,
La Fusta,4,35,np,132,
La Fusta,4,35,np,43,
La Fusta,4,35,np,70,
La Fusta,4,35,np,16,
La Fusta,4,35,np,18,
La Fusta,4,35,np,20,
La Fusta,4,35,np,10,7
La Fusta,4,35,np,16,
La Fusta,4,35,np,15,
La Fusta,4,35,np,19,
La Fusta,4,35,np,105,
La Fusta,4,35,np,55,
La Fusta,4,35,np,59,
La Fusta,4,35,np,57,
La Fusta,4,36,aa,170,37
La Fusta,4,36,np,4,
La Fusta,4,36,np,16,
La Fusta,4,36,np,18,
La Fusta,4,36,np,24,
La Fusta,4,36,np,26,
La Fusta,4,36,np,7,
La Fusta,4,36,np,30,
La Fusta,4,36,np,16,
La Fusta,4,36,np,19,
La Fusta,4,36,np,10,7
La Fusta,4,36,np,12,
La Fusta,4,36,np,78,
Conguillio,5,1,aa,71,19
Conguillio,5,1,aa,62,18
Conguillio,5,1,np,56,
Conguillio,5,1,np,38,10
Conguillio,5,1,np,86,16
Conguillio,5,1,np,66,
Conguillio,5,1,np,48,
Conguillio,5,2,aa,8,
Conguillio,5,2,aa,28,
Conguillio,5,2,aa,15,
Conguillio,5,2,aa,18,9
Conguillio,5,2,aa,38,
Conguillio,5,2,np,30,
Conguillio,5,2,np,33,12.5
Conguillio,5,2,np,40,
Conguillio,5,2,np,52,
Conguillio,5,2,np,20,
Conguillio,5,3,aa,65,
Conguillio,5,3,aa,32,9
Conguillio,5,3,aa,51,
Conguillio,5,3,aa,60,18
Conguillio,5,3,aa,39,
Conguillio,5,3,nd,54,
Conguillio,5,3,nd,82,
Conguillio,5,3,nd,44,18
Conguillio,5,3,nd,47,
Conguillio,5,3,nd,92,21
Conguillio,5,3,nd,83,
Conguillio,5,3,nd,80,
Conguillio,5,3,nd,56,
Conguillio,5,3,nd,72,
Conguillio,5,4,aa,62,
Conguillio,5,4,aa,75,
Conguillio,5,4,aa,76,
Conguillio,5,4,aa,90,17
Conguillio,5,4,aa,57,
Conguillio,5,4,aa,17,
Conguillio,5,4,nd,94,
Conguillio,5,4,nd,97,
Conguillio,5,4,nd,93,
Conguillio,5,4,nd,98,
Conguillio,5,4,nd,64,
Conguillio,5,4,nd,70,
Conguillio,5,4,nd,60,
Conguillio,5,4,nd,86,
Conguillio,5,4,nd,78,
Conguillio,5,4,nd,77,
Conguillio,5,4,nd,71,21
Conguillio,5,4,nd,63,
Conguillio,5,4,nd,25,
Conguillio,5,4,np,57,16
Conguillio,5,5,aa,34,10
Conguillio,5,5,aa,78,19
Conguillio,5,5,aa,57,
Conguillio,5,5,aa,31,
Conguillio,5,5,aa,40,7
Conguillio,5,5,nd,59,23
Conguillio,5,5,nd,63,
Conguillio,5,5,nd,57,
Conguillio,5,5,nd,73,
Conguillio,5,5,nd,104,23
Conguillio,5,5,nd,85,
Conguillio,5,5,nd,74,
Conguillio,5,5,nd,64,
Conguillio,5,5,nd,46,
Conguillio,5,5,nd,96,
Conguillio,5,5,nd,79,
Conguillio,5,5,nd,77,
Conguillio,5,5,nd,63,
Conguillio,5,5,np,75,22
Conguillio,5,6,aa,72,
Conguillio,5,6,aa,78,
Conguillio,5,6,aa,83,
Conguillio,5,6,aa,80,19
Conguillio,5,6,aa,12,4
