,Standort,Bestand,Plot,Baumart,BHD,Hoehe,BHDm,BHDmAA,Hm,HmAA,Dq,DqAA,Hq,HqAA,BHDmax,BHDmaxAA,Hmax,HmaxAA,BereichBHDAA,BereichHAA,BereichDHAA,DHmaxAA,BHDdom,BHDdomAA,Hdom,HdomAA,HdAA,GCdAA,VardAA,G,GAA,BALAA,Nlog,NlogAA,SDIAA,MH,BG,LG,RGAA,RNAA,JWBAA,JWAAA,VS,N,NAA,a,b,c,RD
110,La Fusta,1,26,aa,106,33,73.96,117.65,19.61,24.73,84.80,125.23,20.60,25.47,237,237,35,35,211,25.5,17.5,27,193.33,193.33,32.33,32.33,1.97,0.36,36.84,18.29,5.60,1.14,2.02,1.06,67.14,1478,-38.65,-71.52,0.31,0.11,4.16,0.17,3,105.63,11.56,28.66,2.80,0.03,0.84643048
117,La Fusta,1,27,aa,110,29,73.96,117.65,19.61,24.73,84.80,125.23,20.60,25.47,237,237,35,35,211,25.5,17.5,27,193.33,193.33,32.33,32.33,1.97,0.36,36.84,18.29,5.60,1.14,2.02,1.06,67.14,1478,-38.65,-71.52,0.31,0.11,4.16,0.17,3,105.63,11.56,28.66,2.80,0.03,0.878371253
123,La Fusta,1,28,aa,110,29,73.96,117.65,19.61,24.73,84.80,125.23,20.60,25.47,237,237,35,35,211,25.5,17.5,27,193.33,193.33,32.33,32.33,1.97,0.36,36.84,18.29,5.60,1.14,2.02,1.06,67.14,1478,-38.65,-71.52,0.31,0.11,4.16,0.17,3,105.63,11.56,28.66,2.80,0.03,0.878371253
124,La Fusta,1,28,aa,95,27,73.96,117.65,19.61,24.73,84.80,125.23,20.60,25.47,237,237,35,35,211,25.5,17.5,27,193.33,193.33,32.33,32.33,1.97,0.36,36.84,18.29,5.60,1.14,2.02,1.06,67.14,1478,-38.65,-71.52,0.31,0.11,4.16,0.17,3,105.63,11.56,28.66,2.80,0.03,0.758593355
125,La Fusta,1,28,aa,171,35,73.96,117.65,19.61,24.73,84.80,125.23,20.60,25.47,237,237,35,35,211,25.5,17.5,27,193.33,193.33,32.33,32.33,1.97,0.36,36.84,18.29,5.60,1.14,2.02,1.06,67.14,1478,-38.65,-71.52,0.31,0.11,4.16,0.17,3,105.63,11.56,28.66,2.80,0.03,1.365468039
126,La Fusta,1,28,aa,105,29,73.96,117.65,19.61,24.73,84.80,125.23,20.60,25.47,237,237,35,35,211,25.5,17.5,27,193.33,193.33,32.33,32.33,1.97,0.36,36.84,18.29,5.60,1.14,2.02,1.06,67.14,1478,-38.65,-71.52,0.31,0.11,4.16,0.17,3,105.63,11.56,28.66,2.80,0.03,0.838445287
130,La Fusta,1,29,aa,143,27,73.96,117.65,19.61,24.73,84.80,125.23,20.60,25.47,237,237,35,35,211,25.5,17.5,27,193.33,193.33,32.33,32.33,1.97,0.36,36.84,18.29,5.60,1.14,2.02,1.06,67.14,1478,-38.65,-71.52,0.31,0.11,4.16,0.17,3,105.63,11.56,28.66,2.80,0.03,1.141882629
131,La Fusta,1,29,aa,160,29,73.96,117.65,19.61,24.73,84.80,125.23,20.60,25.47,237,237,35,35,211,25.5,17.5,27,193.33,193.33,32.33,32.33,1.97,0.36,36.84,18.29,5.60,1.14,2.02,1.06,67.14,1478,-38.65,-71.52,0.31,0.11,4.16,0.17,3,105.63,11.56,28.66,2.80,0.03,1.277630914
132,La Fusta,1,29,aa,97,25,73.96,117.65,19.61,24.73,84.80,125.23,20.60,25.47,237,237,35,35,211,25.5,17.5,27,193.33,193.33,32.33,32.33,1.97,0.36,36.84,18.29,5.60,1.14,2.02,1.06,67.14,1478,-38.65,-71.52,0.31,0.11,4.16,0.17,3,105.63,11.56,28.66,2.80,0.03,0.774563741
133,La Fusta,1,29,aa,171,35,73.96,117.65,19.61,24.73,84.80,125.23,20.60,25.47,237,237,35,35,211,25.5,17.5,27,193.33,193.33,32.33,32.33,1.97,0.36,36.84,18.29,5.60,1.14,2.02,1.06,67.14,1478,-38.65,-71.52,0.31,0.11,4.16,0.17,3,105.63,11.56,28.66,2.80,0.03,1.365468039
